title	release_year	rating_small	user_rating_score	dataset_small	rating_big	type	dataset_big	director	score_available	dataset	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
Open Season	2006				PG	Movie	big	Roger Allers, Jill Culton	False	big	tt0400717	movie	Open Season	Open Season	0.0	2006.0		86.0	Adventure,Animation,Comedy	6.1	108993.0
Open Season: Scared Silly	2015	PG	72.0	small	PG	Movie	big	David Feiss	True	smallbig	tt4938374	movie	Open Season: Scared Silly	Open Season: Scared Silly!	0.0	2015.0		84.0	Adventure,Animation,Comedy	5.0	4110.0
Operation Chromite	2016				NR	Movie	big	John H. Lee	False	big											
Operation Gold Rush	2016				TV-14	TV Show	big		False	big											
Operation Mekong	2016				TV-MA	Movie	big	Dante Lam	False	big	tt6044910	movie	Operation Mekong	Mei Gong he xing dong	0.0	2016.0		123.0	Action,Adventure,Crime	6.5	5472.0
Operation Ouch!	2012				TV-PG	TV Show	big		False	big											
Operation Proposal	2012				TV-PG	TV Show	big		False	big	tt3211128	tvSeries	Operation Proposal	Operation Proposal	0.0	2012.0	2012.0	65	Comedy,Fantasy,Romance	6.8	176.0
OperaÌ¤Ìµes Especiais	2015	TV-MA		small					False	small											
Operações Especiais	2015				TV-MA	Movie	big	Tomas Portella	False	big	tt4058210	movie	Operações Especiais	Operações Especiais	0.0	2015.0		99	Action,Crime	6.3	1757.0
Opium and the Kung Fu Master	1984				TV-MA	Movie	big	Chia Tang	False	big											
Orange Is the New Black	2016	TV-MA	98.0	small					True	small											
Orbiter 9	2017				TV-14	Movie	big	Hatem Khraiche	False	big											
Organize Isler	2005				TV-14	Movie	big	Yılmaz Erdoğan	False	big											
Oru Vishsheshapetta Biryani Kissa	2017				TV-14	Movie	big	Kiran Narayanan	False	big											
Oscar's Oasis	2011	TV-G		small	TV-Y	TV Show	big		False	smallbig	tt2080922	tvSeries	Oscar's Oasis	Oscar's Oasis	0.0	2011.0		7.0	Adventure,Animation,Comedy	7.3	883.0
Osmosis Jones	2001				PG	Movie	big	Bobby Farrelly, Peter Farrelly	False	big	tt0181739	movie	Osmosis Jones	Osmosis Jones	0.0	2001.0		95.0	Action,Adventure,Animation	6.3	39837.0
Osuofia in London	2003				TV-MA	Movie	big	Kingsley Ogoro	False	big	tt0493828	video	Osuofia in London	Osuofia in London	0.0	2003.0		105.0	Comedy,Drama	6.6	128.0
Osuofia in London II	2004				TV-14	Movie	big	Kingsley Ogoro	False	big											
OtherLife	2017				TV-MA	Movie	big	Ben C. Lucas	False	big	tt4693358	movie	OtherLife	OtherLife	0.0	2017.0		96.0	Crime,Drama,Mystery	6.2	17135.0
Ottaal	2014				TV-PG	Movie	big	Jayaraj Rajasekharan Nair	False	big	tt4625196	movie	Ottaal	Ottaal	0.0	2014.0		81.0	Drama	8.2	726.0
Our Lovers	2016				TV-MA	Movie	big	Miguel Ángel Lamata	False	big	tt4631532	movie	Our Lovers	Nuestros amantes	0.0	2016.0		88.0	Comedy,Drama,Romance	6.7	4775.0
Our Shining Days	2017				TV-PG	Movie	big		False	big	tt7013194	movie	Our Shining Days	Shan guang shao nü	0.0	2017.0		103.0	Drama,Music	6.6	807.0
Our Souls at Night	2017				TV-14	Movie	big	Ritesh Batra	False	big	tt5034266	movie	Our Souls at Night	Our Souls at Night	0.0	2017.0		103.0	Drama,Romance	6.9	15431.0
Ouran High School Host Club	2006				TV-PG	TV Show	big	Takuya Igarashi	False	big	tt0816397	tvSeries	Ouran High School Host Club	Ôran kôkô hosutobu	0.0	2006.0	2006.0	24.0	Animation,Comedy,Romance	8.1	12398.0
Out of Life	1991				TV-MA	Movie	big	Maroun Baghdadi	False	big	tt0102058	movie	Out of Life	Hors la vie	0.0	1991.0		97.0	Crime,Drama,War	6.8	527.0
Out of Thin Air	2017				TV-MA	Movie	big	Dylan Howitt	False	big	tt6330514	movie	Out of Thin Air	Out of Thin Air	0.0	2017.0		85.0	Crime,Documentary	6.3	2570.0
Outback Truckers	2015				TV-MA	TV Show	big		False	big											
Overnight Republic	2017				TV-MA	Movie	big	Murat Kepez	False	big	tt6721848	movie	Overnight Republic	Kolonya Cumhuriyeti	0.0	2017.0		110.0	Comedy	5.8	5889.0
Oversize Cops	2017				TV-MA	Movie	big	Chanon Yingyong, Phuwanit Pholdee	False	big	tt7547814	movie	Oversize Cops	Oversize Cops	0.0	2017.0		100.0	Action,Comedy	5.8	235.0
Oye Lucky! Lucky Oye!	2008				TV-14	Movie	big	Dibakar Banerjee	False	big	tt1292703	movie	Oye Lucky! Lucky Oye!	Oye Lucky! Lucky Oye!	0.0	2008.0		125.0	Comedy,Crime,Drama	7.7	18457.0
P	2006				TV-MA	Movie	big	Paul Spurrier	False	big	tt1403291	tvEpisode	P	P	0.0	2006.0			Music		
P Se PM Tak	2015				TV-14	Movie	big	Kundan Shah	False	big	tt3255586	movie	P Se PM Tak	P Se PM Tak	0.0	2015.0		123	Comedy,Drama	3.7	98.0
P. King Duckling	2016				TV-Y	TV Show	big		False	big	tt6403002	tvSeries	P. King Duckling	P. King Duckling	0.0	2016.0			Animation,Family	6.2	45.0
PK	2014				TV-14	Movie	big	Rajkumar Hirani	False	big	tt2338151	movie	PK	PK	0.0	2014.0		153.0	Comedy,Drama,Sci-Fi	8.1	208440.0
Paan Singh Tomar	2010				TV-14	Movie	big	Tigmanshu Dhulia	False	big											
Paap-O-Meter	2017				TV-Y7	TV Show	big		False	big	tt30394763	tvMiniSeries	Paap-O-Meter	Paap-O-Meter	0.0	2017.0			Animation		
Paathi	2017				TV-14	Movie	big	Chandran Narikode	False	big											
Pablo	2017				TV-Y	TV Show	big		False	big	tt8016478	tvSeries	Pablo	Pablo	0.0	2017.0	2020.0		Animation,Comedy,Family	7.9	61.0
Pablo Escobar, el patrón del mal	2012				TV-MA	TV Show	big		False	big											
Pablo Escobar: Angel or Demon?	2007				NR	Movie	big	Jorge Granier	False	big											
Pac's Scary Halloween	2016				TV-Y7	Movie	big		False	big	tt11564842	tvEpisode	Pac's Scary Halloween	Pac's Scary Halloween	0.0	2016.0		44.0	Action,Adventure,Animation	5.8	18.0
Pac-Man and the Ghostly Adventures	2014	TV-Y7		small	TV-Y7	TV Show	big		False	smallbig											
Pacific Heat	2016				TV-14	TV Show	big		False	big	tt6283542	tvSeries	Pacific Heat	Pacific Heat	0.0	2016.0	2017.0	22.0	Action,Animation,Comedy	5.8	1186.0
Pacificum: Return to the Ocean	2017				TV-G	Movie	big	Mariana Tschudi, Héctor Gálvez	False	big											
Padamu Aku Bersujud	2015				TV-14	TV Show	big		False	big											
Paddington	2014	PG	70.0	small					True	small	tt1109624	movie	Paddington	Paddington	0.0	2014.0		95.0	Adventure,Comedy,Family	7.3	142646.0
Pagpag: Nine Lives	2013				TV-14	Movie	big	Frasco Mortiz	False	big	tt2996950	movie	Pagpag: Nine Lives	Pagpag: Siyam na buhay	0.0	2013.0		105.0	Horror	5.3	456.0
Paheli	2005				TV-PG	Movie	big	Amol Palekar	False	big	tt0451850	movie	Paheli	Paheli	0.0	2005.0		140.0	Comedy,Drama,Fantasy	6.4	14619.0
Pahuyut Fighting Beat	2007				TV-MA	Movie	big	Piti Jaturaphat	False	big											
Paid in Full	2002				R	Movie	big	Charles Stone III	False	big	tt0259484	movie	Paid in Full	Paid in Full	0.0	2002.0		97.0	Action,Crime,Drama	7.0	14841.0
Paint It Black	2016				R	Movie	big	Amber Tamblyn	False	big	tt1472460	movie	Paint It Black	Paint It Black	0.0	2016.0		97.0	Drama	5.7	807.0
Painted Faces	1988				TV-PG	Movie	big	Alex Law	False	big	tt0095937	movie	Painted Faces	Qi xiao fu	0.0	1988.0		112.0	Drama	7.2	592.0
Pajanimals	2011				TV-Y	TV Show	big		False	big											
Palermo Hollywood	2004				TV-MA	Movie	big	Eduardo Pinto	False	big	tt0422907	movie	Palermo Hollywood	Palermo Hollywood	0.0	2004.0		113.0	Drama	5.3	236.0
Palio	2015				TV-14	Movie	big	Cosima Spender	False	big	tt3669520	movie	Palio	Palio	0.0	2015.0		91.0	Documentary,Drama,Sport	7.3	754.0
Palm Trees in the Snow	2015				TV-MA	Movie	big	Fernando González Molina	False	big	tt3202202	movie	Palm Trees in the Snow	Palmeras en la nieve	0.0	2015.0		163	Drama,Romance	7.3	12758.0
Pan's Labyrinth	2006				R	Movie	big	Guillermo del Toro	False	big	tt0457430	movie	Pan's Labyrinth	El laberinto del fauno	0.0	2006.0		118.0	Drama,Fantasy,War	8.2	718710.0
