title	release_year	rating_small	user_rating_score	dataset_small	rating_big	type	dataset_big	director	score_available	dataset	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
Brick	2005				R	Movie	big	Rian Johnson	False	big	tt0393109	movie	Brick	Brick	0.0	2005.0		110.0	Crime,Drama,Mystery	7.1	111772.0
Brickleberry	2014	TV-MA	63.0	small					True	small	tt33036223	tvEpisode	Brickleberry	Brickleberry	0.0	2014.0			Comedy		
Bride For Rent	2014				TV-PG	Movie	big	Mae Czarina Cruz	False	big											
Bridget Christie: Stand Up for Her	2016				TV-MA	Movie	big		False	big	tt7309512	tvSpecial	Bridget Christie: Stand Up for Her	Bridget Christie: Stand Up for Her	0.0	2016.0		59.0	Comedy	6.7	150.0
Bright Star	2009				PG	Movie	big	Jane Campion	False	big	tt0810784	movie	Bright Star	Bright Star	0.0	2009.0		119.0	Biography,Drama,Romance	6.9	29093.0
Bright: The Music Videos	2017				TV-MA	TV Show	big	David Ayer	False	big											
Bring It On, Ghost	2016				TV-14	TV Show	big	Park Joon-hwa	False	big	tt5768840	tvSeries	Bring It On, Ghost	Ssawooja Gwishina	0.0	2016.0	2016.0	60.0	Comedy,Fantasy,Horror	7.6	3686.0
Bring It On: Worldwide Showdown	2017				PG-13	Movie	big	Robert Adetuyi	False	big											
Broadchurch	2017				TV-MA	TV Show	big		False	big											
Brooklyn's Finest	2009				R	Movie	big	Antoine Fuqua	False	big	tt1210042	movie	Brooklyn's Finest	Brooklyn's Finest	0.0	2009.0		132	Crime,Drama,Thriller	6.7	67319.0
Brother Bear 2	2006	G	57.0	small					True	small	tt0465925	video	Brother Bear 2	Brother Bear 2	0.0	2006.0		74.0	Adventure,Animation,Comedy	6.1	21351.0
Brother Jekwu	2016				TV-14	Movie	big	Charles Uwagbai	False	big	tt8857316	movie	Brother Jekwu	Brother Jekwu	0.0	2016.0		103.0	Comedy		
Brother's Shadow	2006				TV-MA	Movie	big	Todd S. Yellin	False	big	tt0468458	movie	Brother's Shadow	Brother's Shadow	0.0	2006.0		91.0	Drama	6.1	172.0
Brotherhood of Blades II: The Infernal Battlefield	2017				TV-MA	Movie	big	Lu Yang	False	big											
Brown Nation	2016				TV-14	TV Show	big		False	big	tt3787402	tvSeries	Brown Nation	Brown Nation	0.0	2016.0	2016.0	21.0	Comedy	6.7	737.0
Bruno and Boots: Go Jump in the Pool	2016				TV-PG	Movie	big	Vivieno Caldinelli	False	big											
Bruno and Boots: The Wizzle War	2017				TV-PG	Movie	big	Vivieno Caldinelli	False	big											
Bruno and Boots: This Can't Be Happening at Macdonald Hall	2017				TV-PG	Movie	big	Vivieno Caldinelli	False	big											
Buddha	2013				TV-PG	TV Show	big		False	big											
Buddy Thunderstruck	2017	TV-PG		small	TV-Y7	TV Show	big		False	smallbig	tt6591468	tvSeries	Buddy Thunderstruck	Buddy Thunderstruck	0.0	2017.0	2017.0	24.0	Action,Animation,Comedy	7.7	560.0
Buddy Thunderstruck: The Maybe Pile	2017				TV-Y7	Movie	big	Harry Chaskin	False	big											
Budhia Singh: Born to Run	2016				TV-MA	Movie	big	Soumendra Padhi	False	big	tt5805252	movie	Budhia Singh: Born to Run	Budhia Singh: Born to Run	0.0	2016.0		112.0	Biography,Drama,Sport	7.5	1657.0
Bullet Head	2017				R	Movie	big	Paul Solet, Rick Benattar	False	big	tt6204340	movie	Bullet Head	Bullet Head	0.0	2017.0		93.0	Crime,Drama,Thriller	5.4	11578.0
Bunk'd	2016	TV-G	61.0	small					True	small											
Bunks	2013	TV-PG		small					False	small	tt3161448	tvMovie	Bunks	Bunks	0.0	2013.0		80	Comedy,Family,Horror	5.3	945.0
Bure Kaam Bura Natija, Kyun Bhai Chacha Haan Bhatija	2017				TV-PG	TV Show	big		False	big											
Burlesque: Heart of the Glitter Tribe	2017				TV-MA	Movie	big	Jon Manning	False	big	tt5143770	movie	Burlesque: Heart of the Glitter Tribe	Burlesque: Heart of the Glitter Tribe	0.0	2017.0		76.0	Documentary	6.1	186.0
Burn Notice	2013	TV-14	85.0	small					True	small											
Burned Cocoon	2005				TV-MA	TV Show	big		False	big	tt0455294	tvSeries	Burned Cocoon	Yanik Koza	0.0	2005.0	2007.0		Drama	4.3	201.0
Burning Sands	2017				TV-MA	Movie	big	Gerard McMurray	False	big	tt5826432	movie	Burning Sands	Burning Sands	0.0	2017.0		96.0	Drama	6.1	3108.0
Burnistoun	2012				TV-MA	TV Show	big		False	big											
Bushwick	2017				TV-MA	Movie	big	Cary Murnion, Jonathan Milott	False	big	tt4720702	movie	Bushwick	Bushwick	0.0	2017.0		94.0	Action,Thriller	5.2	14316.0
Buster's Mal Heart	2016				TV-MA	Movie	big	Sarah Adina Smith	False	big	tt5173032	movie	Buster's Mal Heart	Buster's Mal Heart	0.0	2016.0		96.0	Crime,Drama,Mystery	6.1	11763.0
Butterfield 8	1960				TV-14	Movie	big	Daniel Mann	False	big											
Bwakaw	2012				TV-MA	Movie	big	Jun Lana	False	big	tt2244376	movie	Bwakaw	Bwakaw	0.0	2012.0		110.0	Drama	7.2	385.0
Bye Bye London	1981				TV-14	Movie	big	Almunsif Alsuwaisi	False	big											
Bygones Be Bygones	2017				TV-MA	Movie	big	Hakan Algül	False	big											
C Kkompany	2008				TV-14	Movie	big	Sachin Yardi	False	big	tt1170399	movie	C Kkompany	C Kkompany	0.0	2008.0		127.0	Comedy,Drama,Thriller	5.5	1385.0
CIA: Comrade in America	2017				TV-14	Movie	big	Amal Neerad	False	big	tt5925772	movie	CIA: Comrade in America	CIA: Comrade in America	0.0	2017.0		134.0	Action,Adventure,Romance	6.4	3590.0
CLANNAD	2008				TV-PG	TV Show	big		False	big											
CRD	2016				TV-MA	Movie	big	Kranti Kanade	False	big											
Cabins in the Wild with Dick Strawbridge	2017				TV-PG	TV Show	big		False	big	tt8422396	tvMiniSeries	Cabins in the Wild with Dick Strawbridge	Cabins in the Wild with Dick Strawbridge	0.0	2017.0	2017.0		Reality-TV	6.7	288.0
Cahaya Dari Timur Beta Maluku	2014				TV-14	Movie	big	Angga Dwimas Sasongko	False	big											
Caida del Cielo	2016				TV-MA	Movie	big	Néstor Sánchez Sotelo	False	big											
Cairo Station	1958				TV-14	Movie	big	Youssef Chahine	False	big	tt0051390	movie	Cairo Station	Bab el hadid	0.0	1958.0		77.0	Crime,Drama	7.5	5619.0
Calico Critters: A Town of Dreams	2017				TV-Y	Movie	big	Momoko Kamiya	False	big											
Calico Critters: The Treasure of Calico Village	2017				TV-Y	Movie	big	Momoko Kamiya	False	big											
Californication	2014	TV-MA	63.0	small					True	small											
Call Me Francis	2016				TV-14	TV Show	big		False	big											
Camelia la Texana	2014				TV-14	TV Show	big	Carlos Bolado	False	big											
Camera Store	2016				TV-MA	Movie	big	Scott Marshall Smith	False	big											
Camp Cool Kids	2017				TV-G	Movie	big	Lisa Arnold	False	big	tt4703182	video	Camp Cool Kids	Camp Cool Kids	0.0	2017.0		104.0	Comedy,Family,Mystery	4.7	636.0
Camp X	2014				TV-MA	TV Show	big		False	big	tt3772982	tvMovie	Camp X	Camp X	0.0	2014.0		88.0	Drama,History,War	7.7	91.0
Camp X-Ray	2014				R	Movie	big	Peter Sattler	False	big	tt2994190	movie	Camp X-Ray	Camp X-Ray	0.0	2014.0		117.0	Drama,War	6.9	43503.0
Can We Get Married?	2012				TV-14	TV Show	big		False	big	tt3247224	tvSeries	Can We Get Married?	Can We Get Married?	0.0	2012.0	2013.0	56	Comedy,Romance	6.5	147.0
Can't Hardly Wait	1998				PG-13	Movie	big	Harry Elfont, Deborah Kaplan	False	big	tt0127723	movie	Can't Hardly Wait	Can't Hardly Wait	0.0	1998.0		100.0	Comedy,Romance	6.5	55266.0
Candyflip	2017				TV-MA	Movie	big	Shanawaz Nellikunnil	False	big	tt5069058	movie	Candyflip	Candyflip	0.0	2017.0		105.0	Fantasy,Mystery,Thriller	5.1	127.0
Candyman	1992				R	Movie	big	Bernard Rose	False	big	tt0103919	movie	Candyman	Candyman	0.0	1992.0		99.0	Horror,Thriller	6.7	104236.0
Can’t Complain	2007				TV-MA	Movie	big	Ahmed Nader Galal	False	big											
Cardboard Gangsters	2016				TV-MA	Movie	big	Mark O'Connor	False	big											
Cardcaptor Sakura	1999				TV-Y7	TV Show	big		False	big											
Care Bears & Cousins	2016				TV-Y	TV Show	big		False	big											
Care Bears: Welcome to Care-a-Lot	2012	TV-Y		small	TV-Y	TV Show	big		False	smallbig	tt2216314	tvSeries	Care Bears: Welcome to Care-a-Lot	Care Bears: Welcome to Care-a-Lot	0.0	2012.0	2016.0	30.0	Animation,Family	5.4	204.0
Caregiver	2008				TV-14	Movie	big	Chito S. Roño	False	big	tt1233519	movie	Caregiver	Caregiver	0.0	2008.0		130.0	Drama	6.3	202.0
Carlos Ballarta: El amor es de putos	2016				TV-MA	Movie	big	Jan Suter, Raúl Campos Delgado	False	big	tt6268852	tvSpecial	Carlos Ballarta: El amor es de putos	Carlos Ballarta: El amor es de putos	0.0	2016.0		67.0	Comedy	7.1	257.0
Carrie	1976				R	Movie	big	Brian De Palma	False	big	tt0074285	movie	Carrie	Carrie	0.0	1976.0		98.0	Horror,Mystery	7.4	215890.0
Carrie Pilby	2016				TV-MA	Movie	big	Susan Johnson	False	big	tt2989524	movie	Carrie Pilby	Carrie Pilby	0.0	2016.0		98.0	Comedy,Drama	6.7	14069.0
Carriers	2009				PG-13	Movie	big	Àlex Pastor, David Pastor	False	big	tt0806203	movie	Carriers	Carriers	0.0	2009.0		84.0	Adventure,Drama,Horror	6.0	51134.0
Cars Toons: Mater's Tall Tales	2010	TV-G	74.0	small					True	small	tt1826165	tvEpisode	Cars Toons: Mater's Tall Tales	Cars Toons: Mater's Tall Tales	0.0	2010.0			Family	6.8	13.0
Casablancas: The Man Who Loved Women	2016				TV-14	Movie	big	Hubert Woroniecki	False	big	tt5078372	movie	Casablancas: The Man Who Loved Women	Casablancas, l'homme qui aimait les femmes	0.0	2016.0		89.0	Documentary	6.2	382.0
Case	2015				TV-MA	TV Show	big		False	big	tt5038858	tvSeries	Case	Case	0.0	2015.0		45.0	Crime,Drama,Mystery	7.0	2928.0
Case 39	2009				R	Movie	big	Christian Alvart	False	big	tt0795351	movie	Case 39	Case 39	0.0	2009.0		109.0	Horror,Mystery,Thriller	6.2	95112.0
Casino Tycoon	1992				TV-MA	Movie	big	Wong Jing	False	big	tt0104145	movie	Casino Tycoon	Do sing dai hang: San gor chuen kei	0.0	1992.0		133.0	Action,Crime,Drama	5.8	519.0
Casino Tycoon 2	1992				TV-MA	Movie	big	Wong Jing	False	big											
Casting JonBenet	2017				TV-14	Movie	big	Kitty Green	False	big	tt6333052	movie	Casting JonBenet	Casting JonBenet	0.0	2017.0		80.0	Crime,Documentary,Drama	6.1	5871.0
Castle of Stars	2015				TV-MA	TV Show	big		False	big											
Cat on a Hot Tin Roof	1958				NR	Movie	big	Richard Brooks	False	big	tt0051459	movie	Cat on a Hot Tin Roof	Cat on a Hot Tin Roof	0.0	1958.0		108.0	Drama	7.9	54835.0
Catch.er	2017				TV-14	Movie	big	Walter Taylaur	False	big	tt8607728	movie	Catch.er	Catch.er	0.0	2017.0		81.0	Crime,Drama	4.8	36.0
Catching the Sun	2015				TV-14	Movie	big	Shalini Kantayya	False	big	tt1698654	movie	Catching the Sun	Catching the Sun	0.0	2015.0		75.0	Documentary,Drama,History	6.6	605.0
Cathedral of the Sea	2017				TV-MA	TV Show	big		False	big											
Cats & Dogs	2001	PG		small					False	small	tt0239395	movie	Cats & Dogs	Cats & Dogs	0.0	2001.0		87.0	Action,Adventure,Comedy	5.2	63728.0
Caught on Camera	2015				TV-MA	TV Show	big		False	big											
Cedric the Entertainer: Live from the Ville	2016				TV-MA	Movie	big	Troy Miller	False	big	tt5753806	tvSpecial	Cedric the Entertainer: Live from the Ville	Cedric the Entertainer: Live from the Ville	0.0	2016.0		60.0	Comedy	6.3	750.0
Celebrity Marriage	2017				TV-14	Movie	big	Pascal Amanfo	False	big	tt14606524	movie	Celebrity Marriage	Celebrity Marriage	0.0	2017.0		107.0	Drama,Romance		
Celluloid Man	2012				TV-PG	Movie	big	Shivendra Singh Dungarpur	False	big	tt2190196	movie	Celluloid Man	Celluloid Man	0.0	2012.0		164.0	Documentary	7.7	203.0
Center Stage	2000				PG-13	Movie	big	Nicholas Hytner	False	big	tt0210616	movie	Center Stage	Center Stage	0.0	2000.0		115.0	Drama,Music,Romance	6.7	23199.0
Chaahat	1996				TV-14	Movie	big	Mahesh Bhatt	False	big	tt0172234	movie	Chaahat	Chaahat	0.0	1996.0		151.0	Drama,Romance	5.5	3346.0
Chaar Sahibzaade	2014				TV-PG	Movie	big	Harry Baweja	False	big											
Chadi Jawani Budhe Nu	1976				TV-PG	Movie	big		False	big	tt3290368	movie	Chadi Jawani Budhe Nu	Chadi Jawani Budhe Nu	0.0	1976.0			Romance	4.2	20.0
Chal Bhaag	2014				TV-14	Movie	big	Prakash Balwant Saini	False	big	tt3542028	movie	Chal Bhaag	Chal Bhaag	0.0	2014.0		111	Comedy	3.7	116.0
Chal Dhar Pakad	2010				TV-14	Movie	big	Aatmaram Dharne	False	big	tt3360280	movie	Chal Dhar Pakad	Chal Dhar Pakad	0.0	2010.0		129.0	Drama	4.6	9.0
Chal Mere Bhai	2000				TV-14	Movie	big	David Dhawan	False	big	tt0245825	movie	Chal Mere Bhai	Chal Mere Bhai	0.0	2000.0		136.0	Comedy,Romance	4.7	3719.0
Chalay Thay Saath	2017				TV-14	Movie	big	Umer Adil	False	big											
Chalte Chalte	2003				TV-14	Movie	big	Aziz Mirza	False	big	tt0346723	movie	Chalte Chalte	Chalte Chalte	0.0	2003.0		167.0	Drama,Romance	6.5	17078.0
Chamatkar	1992				TV-14	Movie	big	Rajiv Mehra	False	big	tt0126234	movie	Chamatkar	Chamatkar	0.0	1992.0		171.0	Comedy,Drama,Fantasy	6.5	7304.0
Chameli	2004				TV-14	Movie	big	Sudhir Mishra	False	big											
Chance Pe Dance	2010				TV-14	Movie	big	Ken Ghosh	False	big	tt1392744	movie	Chance Pe Dance	Chance Pe Dance	0.0	2010.0		122.0	Comedy,Drama,Music	4.8	3185.0
Chandani: The Daughter of the Elephant Whisperer	2010				TV-G	Movie	big	Arne Birkenstock	False	big	tt1612264	movie	Chandani: The Daughter of the Elephant Whisperer	Chandani: The Daughter of the Elephant Whisperer	0.0	2010.0		88.0	Documentary,Family	6.9	46.0
Chaotic Love Poems	2016				TV-14	Movie	big	Garin Nugroho	False	big											
Chappaquiddick	2017				PG-13	Movie	big	John Curran	False	big	tt5270948	movie	Chappaquiddick	Chappaquiddick	0.0	2017.0		106.0	Biography,Drama,History	6.4	14942.0
Chappelle's Show	2005				TV-MA	TV Show	big		False	big											
Charité	2017				TV-MA	TV Show	big		False	big	tt5337806	tvSeries	Charité	Charité	0.0	2017.0		45.0	Drama,History,Sci-Fi	7.8	3927.0
Charlie's Angels: Full Throttle	2003				PG-13	Movie	big	McG	False	big	tt0305357	movie	Charlie's Angels: Full Throttle	Charlie's Angels: Full Throttle	0.0	2003.0		106.0	Action,Adventure,Comedy	4.9	135427.0
Charlotte's Web	1973				G	Movie	big	Charles A. Nichols, Iwao Takamoto	False	big	tt0070016	movie	Charlotte's Web	Charlotte's Web	0.0	1973.0		94.0	Adventure,Animation,Drama	6.9	23247.0
Charmed	2005	TV-PG	90.0	small					True	small	tt0950023	tvEpisode	Charmed	Charmed	0.0	2005.0			Animation,Comedy		
Chashme Baddoor	2013				TV-14	Movie	big	David Dhawan	False	big	tt2229848	movie	Chashme Baddoor	Chashme Baddoor	0.0	2013.0		121.0	Comedy,Drama	5.4	5408.0
Chashme Buddoor	2013				TV-PG	Movie	big	David Dhawan	False	big											
Chasing Amy	1997				R	Movie	big	Kevin Smith	False	big	tt0118842	movie	Chasing Amy	Chasing Amy	0.0	1997.0		113.0	Comedy,Drama,Romance	7.2	145735.0
Chasing Cameron	2016				TV-14	TV Show	big		False	big	tt6370626	tvSeries	Chasing Cameron	Chasing Cameron	0.0	2016.0	2016.0	31.0	Reality-TV	3.7	1524.0
Chasing Coral	2017				TV-PG	Movie	big	Jeff Orlowski	False	big	tt6333054	movie	Chasing Coral	Chasing Coral	0.0	2017.0		93.0	Documentary	8.0	5777.0
Chasing Monsters	2016				TV-PG	TV Show	big		False	big											
Chasing Trane	2016				TV-PG	Movie	big	John Scheinfeld	False	big											
Chasing the Dragon	2017				TV-MA	Movie	big	Wong Jing, Jason Kwan	False	big	tt6015328	movie	Chasing the Dragon	Chui lung	0.0	2017.0		128.0	Action,Biography,Crime	6.7	4714.0
Chatô: The King of Brazil	2015				TV-MA	Movie	big	Guilherme Fontes	False	big											
Chauthi Koot	2015				TV-14	Movie	big	Gurvinder Singh	False	big											
Cheapest Weddings	2016				TV-14	TV Show	big		False	big	tt10333780	tvSeries	Cheapest Weddings	Cheapest Weddings	0.0	2016.0			Reality-TV	6.0	46.0
Cheech & Chong's Still Smokin	1983				TV-MA	Movie	big	Tommy Chong	False	big											
Cheer Squad	2016	TV-PG	61.0	small	TV-PG	TV Show	big		True	smallbig	tt5993744	tvSeries	Cheer Squad	Cheer Squad	0.0	2016.0	2016.0	60.0	Reality-TV	7.2	179.0
Cheese in the Trap	2016				TV-14	TV Show	big	Lee Yoon-jung	False	big	tt4741110	tvSeries	Cheese in the Trap	Cheese in the Trap	0.0	2016.0	2016.0	60.0	Comedy,Romance	7.2	4986.0
Chef & My Fridge	2017				TV-PG	TV Show	big		False	big											
Chef's Table	2017	TV-MA		small					False	small	tt34152160	tvEpisode	Chef's Table	Chef's Table	1.0	2017.0			Adult		
Chef's Table: France	2016				TV-14	TV Show	big		False	big	tt6088326	tvMiniSeries	Chef's Table: France	Chef's Table: France	0.0	2016.0	2016.0	45.0	Documentary	8.2	1910.0
Chelsea	2017	TV-MA		small	TV-MA	TV Show	big		False	smallbig	tt10017814	tvEpisode	Chelsea	Chelsea	0.0	2017.0					
Chelsea Does	2016				TV-MA	TV Show	big		False	big	tt5275894	tvSeries	Chelsea Does	Chelsea Does	0.0	2016.0	2016.0	70.0	Documentary,Talk-Show	7.4	2602.0
Chelsea Handler: Uganda Be Kidding Me Live	2014				TV-MA	Movie	big	James Yukich	False	big											
Chelsea Peretti: One of the Greats	2014				TV-MA	Movie	big	Lance Bangs	False	big	tt3804556	tvSpecial	Chelsea Peretti: One of the Greats	Chelsea Peretti: One of the Greats	0.0	2014.0		74.0	Comedy	6.9	2458.0
Chennai Express	2013				TV-14	Movie	big	Rohit Shetty	False	big	tt2112124	movie	Chennai Express	Chennai Express	0.0	2013.0		141.0	Action,Comedy,Romance	6.2	66602.0
Cheuk Wan-Chi: Two Night Stand	2015				TV-MA	TV Show	big		False	big											
Chewin' the Fat	1999				TV-14	TV Show	big		False	big	tt0224464	tvSeries	Chewin' the Fat	Chewin' the Fat	0.0	1999.0	2005.0		Comedy	8.1	1487.0
Chewing Gum	2017	TV-MA	93.0	small	TV-MA	TV Show	big		True	smallbig											
Chhota Bheem & Ganesh	2009				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem & Krishna: Mayanagari	2011				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem & Krishna: Pataliputra- City of the Dead	2010				TV-Y7	Movie	big	Rajiv Chilaka	False	big	tt6543110	tvMovie	Chhota Bheem & Krishna: Pataliputra- City of the Dead	Chhota Bheem & Krishna: Pataliputra- City of the Dead	0.0	2010.0		65.0	Animation	7.9	165.0
Chhota Bheem - Dinosaur World	2015				TV-Y	Movie	big	Sidheswar Shukla	False	big	tt6536576	tvMovie	Chhota Bheem - Dinosaur World	Chhota Bheem - Dinosaur World	0.0	2015.0			Animation	6.7	22.0
Chhota Bheem - Neeli Pahaadi	2013				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem And The Broken Amulet	2013				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem And The Crown of Valhalla	2013				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem Aur Hanuman	2012				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem and The ShiNobi Secret	2013				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem and the Curse of Damyaan	2012				TV-Y7	Movie	big	Rajiv Chilaka	False	big	tt2798620	movie	Chhota Bheem and the Curse of Damyaan	Chhota Bheem and the Curse of Damyaan	0.0	2012.0		88.0	Action,Adventure,Animation	6.6	513.0
Chhota Bheem and the Incan Adventure	2013				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem aur Krishna	2009				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem aur Krishna vs Zimbara	2013				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem in African Safari	2015				TV-Y7	Movie	big	Binayak Das	False	big	tt6418390	movie	Chhota Bheem in African Safari	Chhota Bheem in African Safari	0.0	2015.0		62.0	Animation	7.5	42.0
Chhota Bheem: Bheem vs Aliens	2010				TV-Y7	Movie	big	Rajiv Chilaka	False	big	tt6442436	tvMovie	Chhota Bheem: Bheem vs Aliens	Chhota Bheem: Bheem vs Aliens	0.0	2010.0		69.0	Action,Adventure,Animation	6.6	144.0
Chhota Bheem: Dholakpur to Kathmandu	2012				TV-Y7	Movie	big	Rajiv Chilaka	False	big	tt6442774	movie	Chhota Bheem: Dholakpur to Kathmandu	Chhota Bheem: Dholakpur to Kathmandu	0.0	2012.0		69.0	Animation	7.7	190.0
Chhota Bheem: Dus Pe Dus	2014				TV-Y7	Movie	big	Rajiv Chilaka, Owll Mina	False	big	tt6417940	tvMovie	Chhota Bheem: Dus Pe Dus	Chhota Bheem: Dus Pe Dus	0.0	2014.0		62.0	Animation	7.2	57.0
Chhota Bheem: Journey to Petra	2011				TV-Y7	Movie	big	Rajiv Chilaka	False	big	tt6543194	tvMovie	Chhota Bheem: Journey to Petra	Chhota Bheem: Journey to Petra	0.0	2011.0			Action,Adventure,Animation	7.4	110.0
Chhota Bheem: Master of Shaolin	2011				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chhota Bheem: The Rise of Kirmada	2012				TV-Y7	Movie	big	Rajiv Chilaka	False	big											
Chicago Typewriter	2017				TV-14	TV Show	big		False	big	tt6516076	tvSeries	Chicago Typewriter	Sikago Tajagi	0.0	2017.0	2017.0	70.0	Drama,Fantasy,Romance	8.2	2256.0
Chicken Kokkachi	2017				TV-14	Movie	big	Anuranjan Premji	False	big	tt6817922	movie	Chicken Kokkachi	Chicken Kokkachi	0.0	2017.0		116.0	Comedy	3.8	114.0
Chicken Run	2000	G	80.0	small					True	small	tt0120630	movie	Chicken Run	Chicken Run	0.0	2000.0		84.0	Adventure,Animation,Comedy	7.1	217447.0
Children of God	1994				TV-MA	Movie	big	John Smithson	False	big	tt6051792	tvMovie	Children of God	Children of God	0.0	1994.0		63.0	Documentary	6.4	667.0
Children of the Whales	2017				TV-14	TV Show	big		False	big	tt7484994	tvMiniSeries	Children of the Whales	Kujira no kora wa sajô ni utau	0.0	2017.0	2017.0	24.0	Animation,Drama,Fantasy	7.0	1914.0
Chill with Bob Ross	1994				TV-G	TV Show	big		False	big											
Chillar Party	2011				TV-PG	Movie	big	Vikas Bahl, Nitesh Tiwari	False	big											
China Salesman	2017				TV-MA	Movie	big	Tan Bing	False	big	tt6015706	movie	China Salesman	China Salesman	0.0	2017.0		110.0	Action,Adventure,Thriller	2.7	2033.0
Chingo Bling: They Can't Deport Us All	2017				TV-MA	Movie	big	Luis Lopez	False	big	tt6772700	tvSpecial	Chingo Bling: They Can't Deport Us All	Chingo Bling: They Can't Deport Us All	0.0	2017.0			Comedy,Documentary	7.1	43.0
Chittagong	2012				NR	Movie	big	Bedabrata Pain	False	big	tt1785333	movie	Chittagong	Chittagong	0.0	2012.0		105.0	Action,Drama,War	7.3	1843.0
Chitty Chitty Bang Bang	1968				G	Movie	big	Ken Hughes	False	big	tt0062803	movie	Chitty Chitty Bang Bang	Chitty Chitty Bang Bang	0.0	1968.0		144.0	Adventure,Family,Fantasy	7.0	52317.0
Chloe	2009				R	Movie	big	Atom Egoyan	False	big	tt1352824	movie	Chloe	Chloe	0.0	2009.0		96.0	Drama,Mystery,Thriller	6.3	79543.0
Chocolate City: Vegas Strip	2017				TV-MA	Movie	big	Jean-Claude La Marre	False	big											
Chris Brown: Welcome to My Life	2017				TV-MA	Movie	big	Andrew Sandler	False	big											
Chris D'Elia: Incorrigible	2015				TV-MA	Movie	big	Bill D'Elia	False	big	tt4624852	tvSpecial	Chris D'Elia: Incorrigible	Chris D'Elia: Incorrigible	0.0	2015.0		83.0	Comedy	6.4	1624.0
Chris D'Elia: Man on Fire	2017				TV-MA	Movie	big	Bill D'Elia	False	big	tt7068896	tvSpecial	Chris D'Elia: Man on Fire	Chris D'Elia: Man on Fire	0.0	2017.0		65.0	Comedy	6.5	1804.0
Christian Mingle	2014				PG	Movie	big	Corbin Bernsen	False	big	tt3398066	movie	Christian Mingle	Christian Mingle	0.0	2014.0		103.0	Comedy,Drama,Family	4.2	1890.0
Christina P: Mother Inferior	2017				TV-MA	Movie	big	Jay Karas	False	big	tt7057376	tvSpecial	Christina P: Mother Inferior	Christina P: Mother Inferior	0.0	2017.0		59.0	Comedy	6.3	1162.0
Christmas Crush	2012				TV-PG	Movie	big	Marita Grabiak	False	big											
Christmas Inheritance	2017				TV-G	Movie	big	Ernie Barbarash	False	big	tt7608534	movie	Christmas Inheritance	Christmas Inheritance	0.0	2017.0		104.0	Comedy,Drama,Romance	5.7	14002.0
Christmas Wedding Planner	2017				PG	Movie	big	Justin G. Dyck	False	big	tt7074092	tvMovie	Christmas Wedding Planner	Christmas Wedding Planner	0.0	2017.0		86.0	Romance	4.4	7010.0
Christmas in the Heartland	2017				TV-PG	Movie	big	Harvey Lowry	False	big											
Christmas in the Smokies	2015				TV-G	Movie	big	Gary Wheeler	False	big	tt4923846	movie	Christmas in the Smokies	Christmas in the Smokies	0.0	2015.0		88.0	Drama,Family,Romance	5.8	1893.0
Christmas with the Kranks	2004				PG	Movie	big	Joe Roth	False	big	tt0388419	movie	Christmas with the Kranks	Christmas with the Kranks	0.0	2004.0		99.0	Comedy,Family	5.5	61499.0
Chronically Metropolitan	2016				TV-MA	Movie	big	Xavier Manrique	False	big	tt4460854	movie	Chronically Metropolitan	Chronically Metropolitan	0.0	2016.0		90.0	Comedy,Drama	5.0	1605.0
Chronicle of an Escape	2006				R	Movie	big	Israel Adrián Caetano	False	big	tt0479354	movie	Chronicle of an Escape	Crónica de una fuga	0.0	2006.0		103.0	Crime,Thriller	7.1	3751.0
Chuck Chicken	2017				TV-Y7	TV Show	big		False	big											
Chuggington	2015	TV-Y		small					False	small											
Chup Chup Ke	2006				TV-14	Movie	big	Priyadarshan, Kookie V. Gulati	False	big	tt0464160	movie	Chup Chup Ke	Chup Chup Ke	0.0	2006.0		164.0	Comedy,Drama,Romance	7.0	13977.0
Chupan Chupai	2017				TV-14	Movie	big	Mohsin Ali	False	big	tt5457656	movie	Chupan Chupai	Chupan Chupai	0.0	2017.0		118.0	Comedy,Crime	5.5	280.0
Chupke Chupke	1975				TV-PG	Movie	big	Hrishikesh Mukherjee	False	big	tt0072783	movie	Chupke Chupke	Chupke Chupke	0.0	1975.0		146.0	Comedy,Drama,Romance	8.3	13492.0
Cinar Agaci	2011				TV-14	Movie	big	Handan İpekçi	False	big											
Cinderella and the Four Knights	2016				TV-PG	TV Show	big		False	big	tt5764414	tvSeries	Cinderella and the Four Knights	Cinderellawa Ne Myungui Gisa	0.0	2016.0	2016.0	60.0	Comedy,Romance	7.4	5826.0
